Time,User_ID,Tweet,like_count,reply_count,retweet_count,language
2022-02-24 00:23:57+00:00,86141342,ONE-ON-ONE WITH SECY. BLINKEN: @DavidMuir goes one-on-one with U.S. Secretary of State Antony Blinken who said there will be “massive consequences” if Putin escalates a Russian invasion of Ukraine. https://t.co/N6PX4MAjBa https://t.co/lNompKyw9D,223,61,82,en
2022-02-24 00:27:02+00:00,86141342,"After more than 30 months in detention centers, Kelvin Silva was deported last week by U.S. Immigration and Customs Enforcement to the Dominican Republic. His mother, children and siblings continue to live in the U.S. https://t.co/9xwVzeHAVj",13,9,10,en
2022-02-24 01:05:13+00:00,86141342,A woman who survived three heart attacks in three days at age 40 is now leading an effort to make Black women aware of the risks of heart disease. https://t.co/ksCjmbLRhN,32,4,13,en
2022-02-24 01:22:49+00:00,86141342,Secretary of State Antony Blinken to @DavidMuir: “Everything we’ve seen over the last 24 to 48 hours has Russia putting the final touches...to be ready for a full-on invasion.” https://t.co/N6PX4MAjBa https://t.co/gKSB0Bft3Z,145,35,76,en
2022-02-24 01:45:50+00:00,86141342,PRESSURING PUTIN: @CeciliaVega reports as the Biden administration still vows to pursue diplomacy despite the dire outlook and the White House doubles down on its pledge that we won’t see American troops in Ukraine. https://t.co/N6PX4MAjBa https://t.co/IxGSFLTiDC,20,8,16,en
2022-02-24 02:00:00+00:00,86141342,POISED TO STRIKE? @MarthaRaddatz has more from Ukraine as the Pentagon says of Russian troops “they are ready” amid signs that a full-scale invasion of Ukraine is imminent. https://t.co/N6PX4MRUsI https://t.co/dZ1F3mUmYD,26,3,21,en
2022-02-24 03:00:02+00:00,86141342,"SPREADING OUT VACCINATIONS: The CDC is now recommending that many Americans wait up to eight weeks between their first and second shots of Pfizer, Moderna vaccines instead of three to four. @sramosABC has details. https://t.co/bipZha1QaO https://t.co/8KUblv34Rr",31,4,15,en
2022-02-24 12:34:01+00:00,86141342,"BREAKING: At least 40 people have been killed Thursday in Russia's attack on Ukraine, according to Oleksiy Arestovich, an adviser to Ukrainian Pres. Volodymyr Zelenskyy. https://t.co/AXhNI0QGqT https://t.co/tCswiQjzp0",55,4,39,en
2022-02-24 12:36:02+00:00,86141342,NATO envoys met in emergency session after Russian Pres. Vladimir Putin ordered a large-scale attack on Ukraine as the 30-nation military organization prepares to bolster its defenses in allies neighboring both countries. https://t.co/Vf1MIKYjSt,33,6,13,en
2022-02-24 12:38:28+00:00,86141342,"Video published by the Ukraine border guard service claims to show Russian military vehicles moving across checkpoint where the borders of Ukraine, Russia and Belarus meet. https://t.co/HHaMeee9Ka https://t.co/FeLvV8xo0X",59,6,40,en
2022-02-24 12:40:34+00:00,86141342,Russia appears to be establishing military censorship of media coverage of its invasion of neighboring Ukraine. https://t.co/bHpWAmX7v0,25,3,10,en
2022-02-24 13:00:11+00:00,86141342,"LATEST: Ukraine's energy system has temporarily cut itself off from the power grids of neighboring Russia and Belarus, according to Ukrainian transmission system operator Ukrenergo. https://t.co/pUySjcwf1x",18,3,14,en
2022-02-24 13:10:05+00:00,86141342,"Russia's parliament speaker claims that the ""sole purpose"" of the country's invasion of Ukraine ""is to secure peace,"" saying ""Russia has never been an enemy."" https://t.co/qobAroK7h5 https://t.co/ws1pLbmQ1b",26,25,14,en
2022-02-24 13:46:17+00:00,86141342,"A Ukrainian military aircraft carrying 14 people crashed in the Kyiv region, killing at least five of them, according to Ukraine's Ministry of Internal Affairs. https://t.co/AX3gloqZSp",19,4,14,en
2022-02-24 13:55:06+00:00,86141342,"Russian Federal Service for Supervision of Communications, Information Technology and Mass Media warns that all Russian media outlets are required to use information exclusively from official Russian sources while covering military operations in Ukraine. https://t.co/a5gPW4PRSI https://t.co/bxzGNZJmvQ",28,3,21,en
2022-02-24 14:05:08+00:00,86141342,"NEW: Former Pres. George W. Bush condemns Russia’s attack on Ukraine, calling it the “gravest security crisis on the European continent since World War II.”

“We cannot tolerate the authoritarian bullying and danger that Putin poses.” https://t.co/T4EM2aL8Qa https://t.co/6jLc2Rnz0G",338,30,79,en
2022-02-24 14:37:04+00:00,86141342,"Russia's military launched a long-feared invasion of Ukraine early Thursday, attacking its ex-Soviet neighbor from multiple directions despite warnings of dire consequences from the U.S. and the international community.

LIVE UPDATES: https://t.co/nLsYslbr14 https://t.co/eQUc67MXeV",37,5,20,en
2022-02-24 15:11:44+00:00,86141342,"BREAKING: Pres. Biden to deliver remarks ""on Russia’s unprovoked and unjustified attack on Ukraine"" at 12:30 p.m. ET, White House says. https://t.co/TEhj7lXMNv https://t.co/8fefXcP6SM",39,9,22,en
2022-02-24 15:45:36+00:00,86141342,"Photo shows people boarding a bus to evacuate Kyiv amid Russia's long-feared invasion of Ukraine.

LIVE UPDATES: https://t.co/ywqqrpdaFV https://t.co/aizlq7BJqG",40,5,17,en
2022-02-24 16:07:49+00:00,86141342,"U.K. Prime Minister Boris Johnson: ""We must ... collectively cease the dependence on Russian oil and gas that for too long has given Putin his grip on Western politics."" https://t.co/6igv1pRwRh https://t.co/zGgj3T3KPn",111,9,28,en
2022-02-24 16:30:59+00:00,86141342,📸 Pres. Biden meets with the National Security Council this morning in the White House Situation Room to discuss the latest developments in Ukraine. https://t.co/N8aBQTfTqN https://t.co/djzhlwmuI7,71,14,22,en
2022-02-24 17:18:01+00:00,86141342,"The White House has begun a sweeping overhaul of its COVID strategy that will signal the nation is moving past crisis mode and into a more manageable phase in the pandemic, @ABC News has learned. https://t.co/593vEeekUa",24,1,9,en
2022-02-24 17:19:01+00:00,86141342,"There are concerns that artillery could hit the reactor amid fighting.

LIVE UPDATES: https://t.co/9jRENmxMjE https://t.co/Lc6Kde9scQ",35,10,21,en
2022-02-24 17:43:50+00:00,86141342,"LATEST: The leaders of the G-7 countries condemn Russia's attack in a joint statement and vow to bring ""severe and coordinated economic and financial sanctions."" https://t.co/Dh6Wq5hPD1",45,4,14,en
2022-02-24 18:01:57+00:00,86141342,"Pres. Biden says G7 leaders “agreed to move forward on devastating packages of sanctions and other economic measures to hold Russia to account.” 

“We stand with the brave people of Ukraine.” https://t.co/635ipbP62e https://t.co/UpBo9oaQIj",102,6,35,en
2022-02-24 18:18:10+00:00,86141342,"LATEST: Boris Johnson announces new package of sanctions targeting over 100 Russian entities and individuals.

Johnson says this would totally exclude Russian banks from the U.K. financial system, adding, ""oligarchs in London will have nowhere to hide."" https://t.co/HI7zksJwY0",67,7,24,en
2022-02-24 18:19:08+00:00,86141342,"BREAKING: Ukraine has lost control of a key military airport located less than 20 miles from the center of Kyiv, according to Ukraine’s deputy interior minister. https://t.co/HnGqk6ADtG",23,2,22,en
2022-02-24 18:21:11+00:00,86141342,"Protesters arrested in Moscow and St. Petersburg at demonstrations against Russia's invasion of Ukraine.

LIVE UPDATES: https://t.co/LdXXSlbhjT https://t.co/9reKBuUziR",162,15,84,en
2022-02-24 18:52:58+00:00,86141342,"BREAKING: Pres. Biden: ""Putin is the aggressor. Putin chose this war. And now he and his country will bear the consequences."" https://t.co/qHac9iJhYv https://t.co/7NHKe0ok5p",91,11,37,en
2022-02-24 18:53:11+00:00,86141342,"BREAKING: Pres. Biden authorizes ""additional strong sanctions"" against Russia.

""We have purposefully designed these sanctions to maximize the long-term impact on Russia and to minimize the impact on the United States and our allies."" https://t.co/CZD2inXTzi https://t.co/fGXB9txDm4",50,8,25,en
2022-02-24 19:01:37+00:00,86141342,"Pres. Biden says countries representing “well more than half the global economy” are implementing economy sanctions against Russia. 

“We will limit Russia’s ability to do business in dollars, euros, pounds and yen.” https://t.co/CZD2inXTzi https://t.co/3t4lOPR9eM",5532,531,911,en
2022-02-24 19:38:33+00:00,86141342,".@IanPannell to @DavidMuir on Russian invasion of Ukraine: ""The situation on the ground is serious, and it's growing more serious really by the hour."" https://t.co/Y0PhsCbYly https://t.co/1XPE2L6XzJ",85,7,28,en
