Year,Month,Trade Type,Consignment,Statistics,Value,Unit
"2020","Dec","Imports","AFGHANISTAN","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","AFGHANISTAN","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Imports","AFRICA, NESOI","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","AFRICA, NESOI","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","ALBANIA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","ALBANIA","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","ALGERIA","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","ALGERIA","Value (Year-to-date)","24","HK$ Mn"
"2020","Dec","Imports","AMERICAN SAMOA","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","AMERICAN SAMOA","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Imports","ANDORRA","Value (Monthly)","-",""
"2020","Dec","Imports","ANDORRA","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","ANGOLA","Value (Monthly)","-",""
"2020","Dec","Imports","ANGOLA","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","ARGENTINA","Value (Monthly)","144","HK$ Mn"
"2020","Dec","Imports","ARGENTINA","Value (Year-to-date)","1,375","HK$ Mn"
"2020","Dec","Imports","ARMENIA","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","ARMENIA","Value (Year-to-date)","6","HK$ Mn"
"2020","Dec","Imports","ARUBA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","ARUBA","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","ASIA, NESOI","Value (Monthly)","-",""
"2020","Dec","Imports","ASIA, NESOI","Value (Year-to-date)","-",""
"2020","Dec","Imports","AUSTRALASIA & OCEANIA, NESOI","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","AUSTRALASIA & OCEANIA, NESOI","Value (Year-to-date)","50","HK$ Mn"
"2020","Dec","Imports","AUSTRALIA","Value (Monthly)","1,332","HK$ Mn"
"2020","Dec","Imports","AUSTRALIA","Value (Year-to-date)","16,605","HK$ Mn"
"2020","Dec","Imports","AUSTRIA","Value (Monthly)","184","HK$ Mn"
"2020","Dec","Imports","AUSTRIA","Value (Year-to-date)","2,067","HK$ Mn"
"2020","Dec","Imports","AZERBAIJAN","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","AZERBAIJAN","Value (Year-to-date)","259","HK$ Mn"
"2020","Dec","Imports","BAHAMAS","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","BAHAMAS","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","BAHRAIN","Value (Monthly)","69","HK$ Mn"
"2020","Dec","Imports","BAHRAIN","Value (Year-to-date)","490","HK$ Mn"
"2020","Dec","Imports","BANGLADESH","Value (Monthly)","97","HK$ Mn"
"2020","Dec","Imports","BANGLADESH","Value (Year-to-date)","989","HK$ Mn"
"2020","Dec","Imports","BARBADOS","Value (Monthly)","-",""
"2020","Dec","Imports","BARBADOS","Value (Year-to-date)","17","HK$ Mn"
"2020","Dec","Imports","BELARUS","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","BELARUS","Value (Year-to-date)","29","HK$ Mn"
"2020","Dec","Imports","BELGIUM","Value (Monthly)","1,617","HK$ Mn"
"2020","Dec","Imports","BELGIUM","Value (Year-to-date)","18,210","HK$ Mn"
"2020","Dec","Imports","BELIZE","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","BELIZE","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","BENIN","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","BENIN","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Imports","BHUTAN","Value (Monthly)","-",""
"2020","Dec","Imports","BHUTAN","Value (Year-to-date)","0@Mn","HK$ Mn"
