Time,User_ID,Tweet,like_count,reply_count,retweet_count,language
2022-02-24 01:33:22+00:00,1903712426,"EU blacklists Russian government officials, lawmakers. The list of sanctions includes in particular Russian Deputy Prime Ministers Marat Khusnullin and Dmitry Grigorenko, Defense Minister Sergey Shoigu:
https://t.co/aewV4aJW3u https://t.co/uBJR0nyxvz",14,9,13,en
2022-02-24 08:28:03+00:00,1903712426,"Putin declares beginning of military operation in Ukraine:
https://t.co/yCUbvxH11I https://t.co/FrFH0obtUk",37,9,18,en
2022-02-24 08:33:45+00:00,1903712426,"Putin urges Ukrainian military to disarm:
https://t.co/oO7NcrHKdK https://t.co/p0vS0Uzx9V",172,22,78,en
2022-02-24 08:45:16+00:00,1903712426,"Ukrainian Air Force infrastructure degraded, air defenses suppressed — Russia’s top brass:
https://t.co/x2b6FC8XS4 https://t.co/ZxF2XkpSGc",46,2,43,en
2022-02-24 09:00:53+00:00,1903712426,"Flights canceled or suspended in southern Russia:
https://t.co/Wz4FC2VOmV https://t.co/EZpBts1Mzh",17,1,12,en
2022-02-24 09:15:17+00:00,1903712426,"Kiev asks Ankara to close Turkish straits to Russian warships:
https://t.co/WeG4w9OQSC https://t.co/YMTxios4rG",41,4,27,en
2022-02-24 09:21:36+00:00,1903712426,"Russia’s daily COVID-19 cases grow by almost 133,000 — crisis center:
https://t.co/731T1lsgxZ https://t.co/rWSljXvNiD",11,0,10,en
2022-02-24 09:30:28+00:00,1903712426,"OSCE says Russian military action in Ukraine puts millions of lives at grave risk:
https://t.co/CptO2Ltysz https://t.co/9dehUHcEeM",10,4,5,en
2022-02-24 09:45:29+00:00,1903712426,"Ukrainian troops leaving their positions, dropping weapons — Russian Defense Ministry:
https://t.co/5Ihb3j61C5 https://t.co/Q10xKhNpbp",82,21,46,en
2022-02-24 10:01:00+00:00,1903712426,"Brent surpasses $103 per barrel first time since September 2014:
https://t.co/UmHRuQCtxJ https://t.co/g93XtP56nb",17,3,19,en
2022-02-24 10:47:26+00:00,1903712426,"Ukraine severs diplomatic relations with Russia — Zelensky:
https://t.co/mctRs5Rne4 https://t.co/gdKKxmoRYU",18,5,14,en
2022-02-24 11:00:20+00:00,1903712426,"Parliament introduces martial law in Ukraine — MP:
https://t.co/l3Brun3knT https://t.co/Wo2qZLI0Iz",14,6,10,en
2022-02-24 13:35:53+00:00,1903712426,"Ukrainian Foreign Ministry announces evacuation of embassy personnel from Moscow:
https://t.co/Zd2T9fmZ1p https://t.co/BYIg41rjn4",7,1,7,en
2022-02-24 14:00:21+00:00,1903712426,"Lukashenko says Putin promises he would regard attack on Belarus as attack on Russia:
https://t.co/63rlcFzdrm https://t.co/68O2jRM6t9",107,18,49,en
2022-02-24 16:09:41+00:00,1903712426,"Top brass reveals 74 Ukrainian military facilities were crippled by Russia’s strikes:
https://t.co/HpRdG2INOV https://t.co/RC1hmHGunq",46,10,25,en
2022-02-24 16:11:43+00:00,1903712426,"Football, visas and SWIFT: West urges severe sanctions against Russia:
https://t.co/6fUx0QsPJk https://t.co/7qBbkdcjbk",11,2,5,en
2022-02-24 16:31:00+00:00,1903712426,"Russia always ready for dialogue that will return all to UN Charter, Lavrov emphasizes:
https://t.co/JcyrqzUvCD https://t.co/werS1lHPon",60,21,21,en
2022-02-24 17:00:57+00:00,1903712426,"German Economy Ministry sees no prospects for launching Nord Stream 2 in mid-term:
https://t.co/BSt1IY2Thl https://t.co/XycLiijtx7",17,7,10,en
2022-02-24 19:42:41+00:00,1903712426,"Russia will take tough measures in response to the European Union’s sanctions over Moscow’s recognition of the independence of the Donetsk and Lugansk People’s Republics, the Foreign Ministry said in a statement on Thursday:
https://t.co/JBOPPkfDz2 https://t.co/EP0w7GOCoG",51,23,33,en
2022-02-25 03:43:05+00:00,1903712426,"A new package of European sanctions against Russia will hamper Russia's oil refining and sales and cause billions in losses, European Commission President Ursula von der Leyen told:
https://t.co/setAxsUmPz https://t.co/Mpaa8NBy1o",24,14,10,en
2022-02-25 04:40:29+00:00,1903712426,"Macron says he phoned Putin on Zelensky’s request:
https://t.co/X4GVMJddXg https://t.co/3btHuA7Dtj",19,4,13,en
2022-02-25 05:40:56+00:00,1903712426,"Ukrainian President Vladimir Zelensky said his country ended up defending itself on its own:
https://t.co/XCU8fKxS1X https://t.co/mCFJrr1twR",39,22,18,en
2022-02-25 08:30:15+00:00,1903712426,"Turkey reveals prospects for passage of Russian warships through Bosphorus and Dardanelles: 
https://t.co/3zKrGgPA5M https://t.co/WGwqaXeamV",16,1,10,en
2022-02-25 09:30:53+00:00,1903712426,"Russia’s COVID-19 case tally surpasses 16 mln since start of pandemic — crisis center: 
https://t.co/UDpFcTsBaD https://t.co/ObtQaIHOGE",6,2,2,en
2022-02-25 10:00:15+00:00,1903712426,"Neither Europe nor the US wants war with Russia — French Defense Minister: 
https://t.co/bHe5nibm2M https://t.co/nrfRszVk2f",30,10,10,en
2022-02-25 11:00:33+00:00,1903712426,"Russian lower house speaker hits out at Zelensky’s political failures: 
https://t.co/kdBhHWxpaz https://t.co/JUQHetr0zo",24,10,5,en
2022-02-25 11:30:04+00:00,1903712426,"Ukraine ready for talks with Russia if such option exists — presidential advisor:
https://t.co/1tRQHiCIa5

© Ukrainian President Office/CC BY-SA 4.0 https://t.co/JqihWCzcap",28,10,20,en
2022-02-25 12:00:13+00:00,1903712426,"Events in Ukraine crucial for history of Europe — former German Chancellor:
https://t.co/uhVdU7tOfr https://t.co/KRD5tM9hA0",4,8,7,en
2022-02-25 14:30:24+00:00,1903712426,"China calls for sustainable European security mechanism, Xi says: 
https://t.co/OIpu6GN37N https://t.co/n3Pwv7ZxR9",33,5,12,en
2022-02-25 15:01:05+00:00,1903712426,"Putin tells Xi Russia ready for high-level talks with Kiev: 
https://t.co/cqTF6IHCbn https://t.co/tfFtaUfolk",47,8,18,en
2022-02-25 16:00:25+00:00,1903712426,"EU agrees on sanctions against Putin, Lavrov — TV:
https://t.co/aSXgJP3Kyk https://t.co/8oR7dgIxaj",19,12,10,en
2022-02-25 16:30:20+00:00,1903712426,"Lukashenko pledges to provide all conditions for Russian-Ukrainian talks:
https://t.co/ogTJV2rq9E https://t.co/kaI02zCNtp",37,15,18,en
2022-02-25 17:00:10+00:00,1903712426,"EU to include Putin, Lavrov into sanction list — German Foreign Minister:
https://t.co/mAz02kN0e4 https://t.co/EJFzTIwLkp",24,26,8,en
2022-02-25 17:30:02+00:00,1903712426,"FIA Formula One cancels 2022 Russia Grand Prix in Sochi:
https://t.co/KwmHIBqM37 https://t.co/N2KjGnDz5r",21,24,3,fr
2022-02-26 00:39:51+00:00,1903712426,"Zelensky accepts Putin’s proposal, ready for peace talks. According to his press secretary Sergey Nikoforov, consultations are underway about the place and time of the negotiations:
https://t.co/5TBUNXd1kM https://t.co/siRybkrnZu",145,41,86,en
2022-02-26 03:15:09+00:00,1903712426,"US sanctions Putin, Lavrov, other Russian Security Council members:
https://t.co/SHAyVZjlQ8 https://t.co/dbGTniT4EN",16,23,11,en
2022-02-26 15:00:23+00:00,1903712426,"Russia has closed its airspace to planes from Bulgaria, Poland and the Czech Republic in response to the unfriendly actions of their aviation authorities, Russia’s Federal Agency for Air Transport said in a statement on Saturday:
https://t.co/OQWLzcwfTG https://t.co/8PQQv32smR",37,15,29,en
2022-02-26 16:00:16+00:00,1903712426,"Russia is capable of taking measures to mitigate the damage from sanctions, Kremlin Spokesman Dmitry Peskov told reporters on Saturday:
https://t.co/c7wXh6q8BM https://t.co/YIs3a2fe5m",47,27,29,en
2022-02-26 17:00:53+00:00,1903712426,"Russian Security Council Deputy Chairman Dmitry Medvedev speculated that Russia may nationalize property of people registered in the US, the EU and other unfriendly jurisdictions amid new anti-Russian sanctions:
https://t.co/Jjo4SO3CuT https://t.co/pskRuC5ajO",104,35,64,en
