Year,Month,Trade Type,Consignment,Statistics,Value,Unit
"2020","Dec","Total Exports","AFGHANISTAN","Value (Monthly)","14","HK$ Mn"
"2020","Dec","Total Exports","AFGHANISTAN","Value (Year-to-date)","31","HK$ Mn"
"2020","Dec","Total Exports","AFRICA, NESOI","Value (Monthly)","-",""
"2020","Dec","Total Exports","AFRICA, NESOI","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Total Exports","ALBANIA","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Total Exports","ALBANIA","Value (Year-to-date)","30","HK$ Mn"
"2020","Dec","Total Exports","ALGERIA","Value (Monthly)","228","HK$ Mn"
"2020","Dec","Total Exports","ALGERIA","Value (Year-to-date)","1,016","HK$ Mn"
"2020","Dec","Total Exports","AMERICAN SAMOA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","AMERICAN SAMOA","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Total Exports","ANDORRA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","ANDORRA","Value (Year-to-date)","32","HK$ Mn"
"2020","Dec","Total Exports","ANGOLA","Value (Monthly)","7","HK$ Mn"
"2020","Dec","Total Exports","ANGOLA","Value (Year-to-date)","221","HK$ Mn"
"2020","Dec","Total Exports","ARGENTINA","Value (Monthly)","345","HK$ Mn"
"2020","Dec","Total Exports","ARGENTINA","Value (Year-to-date)","2,421","HK$ Mn"
"2020","Dec","Total Exports","ARMENIA","Value (Monthly)","26","HK$ Mn"
"2020","Dec","Total Exports","ARMENIA","Value (Year-to-date)","357","HK$ Mn"
"2020","Dec","Total Exports","ARUBA","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Total Exports","ARUBA","Value (Year-to-date)","17","HK$ Mn"
"2020","Dec","Total Exports","ASIA, NESOI","Value (Monthly)","-",""
"2020","Dec","Total Exports","ASIA, NESOI","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","AUSTRALASIA & OCEANIA, NESOI","Value (Monthly)","8","HK$ Mn"
"2020","Dec","Total Exports","AUSTRALASIA & OCEANIA, NESOI","Value (Year-to-date)","124","HK$ Mn"
"2020","Dec","Total Exports","AUSTRALIA","Value (Monthly)","3,047","HK$ Mn"
"2020","Dec","Total Exports","AUSTRALIA","Value (Year-to-date)","31,994","HK$ Mn"
"2020","Dec","Total Exports","AUSTRIA","Value (Monthly)","614","HK$ Mn"
"2020","Dec","Total Exports","AUSTRIA","Value (Year-to-date)","6,989","HK$ Mn"
"2020","Dec","Total Exports","AZERBAIJAN","Value (Monthly)","56","HK$ Mn"
"2020","Dec","Total Exports","AZERBAIJAN","Value (Year-to-date)","852","HK$ Mn"
"2020","Dec","Total Exports","BAHAMAS","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","BAHAMAS","Value (Year-to-date)","8","HK$ Mn"
"2020","Dec","Total Exports","BAHRAIN","Value (Monthly)","23","HK$ Mn"
"2020","Dec","Total Exports","BAHRAIN","Value (Year-to-date)","425","HK$ Mn"
"2020","Dec","Total Exports","BANGLADESH","Value (Monthly)","975","HK$ Mn"
"2020","Dec","Total Exports","BANGLADESH","Value (Year-to-date)","10,012","HK$ Mn"
"2020","Dec","Total Exports","BARBADOS","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","BARBADOS","Value (Year-to-date)","12","HK$ Mn"
"2020","Dec","Total Exports","BELARUS","Value (Monthly)","42","HK$ Mn"
"2020","Dec","Total Exports","BELARUS","Value (Year-to-date)","577","HK$ Mn"
"2020","Dec","Total Exports","BELGIUM","Value (Monthly)","1,326","HK$ Mn"
"2020","Dec","Total Exports","BELGIUM","Value (Year-to-date)","14,427","HK$ Mn"
"2020","Dec","Total Exports","BELIZE","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Total Exports","BELIZE","Value (Year-to-date)","8","HK$ Mn"
"2020","Dec","Total Exports","BENIN","Value (Monthly)","4","HK$ Mn"
"2020","Dec","Total Exports","BENIN","Value (Year-to-date)","69","HK$ Mn"
"2020","Dec","Total Exports","BHUTAN","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Total Exports","BHUTAN","Value (Year-to-date)","14","HK$ Mn"
"2020","Dec","Total Exports","BOLIVIA, P STATE OF","Value (Monthly)","8","HK$ Mn"
"2020","Dec","Total Exports","BOLIVIA, P STATE OF","Value (Year-to-date)","153","HK$ Mn"
"2020","Dec","Total Exports","BOSNIA & HERZEGOVINA","Value (Monthly)","5","HK$ Mn"
"2020","Dec","Total Exports","BOSNIA & HERZEGOVINA","Value (Year-to-date)","67","HK$ Mn"
"2020","Dec","Total Exports","BOTSWANA","Value (Monthly)","2","HK$ Mn"
"2020","Dec","Total Exports","BOTSWANA","Value (Year-to-date)","131","HK$ Mn"
"2020","Dec","Total Exports","BRAZIL","Value (Monthly)","1,515","HK$ Mn"
"2020","Dec","Total Exports","BRAZIL","Value (Year-to-date)","17,426","HK$ Mn"
"2020","Dec","Total Exports","BRUNEI DARUSSALAM","Value (Monthly)","10","HK$ Mn"
"2020","Dec","Total Exports","BRUNEI DARUSSALAM","Value (Year-to-date)","126","HK$ Mn"
"2020","Dec","Total Exports","BULGARIA","Value (Monthly)","83","HK$ Mn"
"2020","Dec","Total Exports","BULGARIA","Value (Year-to-date)","899","HK$ Mn"
"2020","Dec","Total Exports","BURKINA FASO","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Total Exports","BURKINA FASO","Value (Year-to-date)","94","HK$ Mn"
"2020","Dec","Total Exports","BURUNDI","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Total Exports","BURUNDI","Value (Year-to-date)","17","HK$ Mn"
"2020","Dec","Total Exports","CABO VERDE","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","CABO VERDE","Value (Year-to-date)","6","HK$ Mn"
"2020","Dec","Total Exports","CAMBODIA","Value (Monthly)","655","HK$ Mn"
"2020","Dec","Total Exports","CAMBODIA","Value (Year-to-date)","7,265","HK$ Mn"
"2020","Dec","Total Exports","CAMEROON","Value (Monthly)","78","HK$ Mn"
"2020","Dec","Total Exports","CAMEROON","Value (Year-to-date)","622","HK$ Mn"
"2020","Dec","Total Exports","CANADA","Value (Monthly)","1,341","HK$ Mn"
"2020","Dec","Total Exports","CANADA","Value (Year-to-date)","14,814","HK$ Mn"
"2020","Dec","Total Exports","CENTRAL & SOUTH AMERICA,NESOI","Value (Monthly)","4","HK$ Mn"
"2020","Dec","Total Exports","CENTRAL & SOUTH AMERICA,NESOI","Value (Year-to-date)","114","HK$ Mn"
"2020","Dec","Total Exports","CENTRAL AFRICAN REP","Value (Monthly)","2","HK$ Mn"
"2020","Dec","Total Exports","CENTRAL AFRICAN REP","Value (Year-to-date)","25","HK$ Mn"
"2020","Dec","Total Exports","CHAD","Value (Monthly)","6","HK$ Mn"
"2020","Dec","Total Exports","CHAD","Value (Year-to-date)","238","HK$ Mn"
"2020","Dec","Total Exports","CHILE","Value (Monthly)","365","HK$ Mn"
"2020","Dec","Total Exports","CHILE","Value (Year-to-date)","4,164","HK$ Mn"
"2020","Dec","Total Exports","CIS & EASTERN EUROPE, NESOI","Value (Monthly)","-",""
"2020","Dec","Total Exports","CIS & EASTERN EUROPE, NESOI","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","COLOMBIA","Value (Monthly)","340","HK$ Mn"
"2020","Dec","Total Exports","COLOMBIA","Value (Year-to-date)","3,532","HK$ Mn"
"2020","Dec","Total Exports","COMOROS","Value (Monthly)","-",""
"2020","Dec","Total Exports","COMOROS","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Total Exports","CONGO","Value (Monthly)","13","HK$ Mn"
"2020","Dec","Total Exports","CONGO","Value (Year-to-date)","170","HK$ Mn"
"2020","Dec","Total Exports","CONGO, DEM REP THE","Value (Monthly)","38","HK$ Mn"
"2020","Dec","Total Exports","CONGO, DEM REP THE","Value (Year-to-date)","425","HK$ Mn"
"2020","Dec","Total Exports","COSTA RICA","Value (Monthly)","40","HK$ Mn"
"2020","Dec","Total Exports","COSTA RICA","Value (Year-to-date)","598","HK$ Mn"
"2020","Dec","Total Exports","COTE D'IVOIRE","Value (Monthly)","37","HK$ Mn"
"2020","Dec","Total Exports","COTE D'IVOIRE","Value (Year-to-date)","277","HK$ Mn"
"2020","Dec","Total Exports","CROATIA","Value (Monthly)","47","HK$ Mn"
"2020","Dec","Total Exports","CROATIA","Value (Year-to-date)","729","HK$ Mn"
"2020","Dec","Total Exports","CUBA","Value (Monthly)","10","HK$ Mn"
"2020","Dec","Total Exports","CUBA","Value (Year-to-date)","70","HK$ Mn"
"2020","Dec","Total Exports","CYPRUS","Value (Monthly)","11","HK$ Mn"
"2020","Dec","Total Exports","CYPRUS","Value (Year-to-date)","134","HK$ Mn"
"2020","Dec","Total Exports","CZECHIA","Value (Monthly)","1,203","HK$ Mn"
"2020","Dec","Total Exports","CZECHIA","Value (Year-to-date)","12,894","HK$ Mn"
"2020","Dec","Total Exports","DENMARK","Value (Monthly)","270","HK$ Mn"
"2020","Dec","Total Exports","DENMARK","Value (Year-to-date)","2,788","HK$ Mn"
"2020","Dec","Total Exports","DJIBOUTI","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","DJIBOUTI","Value (Year-to-date)","15","HK$ Mn"
"2020","Dec","Total Exports","DOMINICAN REPUBLIC","Value (Monthly)","44","HK$ Mn"
"2020","Dec","Total Exports","DOMINICAN REPUBLIC","Value (Year-to-date)","886","HK$ Mn"
"2020","Dec","Total Exports","ECUADOR","Value (Monthly)","20","HK$ Mn"
"2020","Dec","Total Exports","ECUADOR","Value (Year-to-date)","453","HK$ Mn"
"2020","Dec","Total Exports","EGYPT","Value (Monthly)","801","HK$ Mn"
"2020","Dec","Total Exports","EGYPT","Value (Year-to-date)","10,303","HK$ Mn"
"2020","Dec","Total Exports","EL SALVADOR","Value (Monthly)","50","HK$ Mn"
"2020","Dec","Total Exports","EL SALVADOR","Value (Year-to-date)","469","HK$ Mn"
"2020","Dec","Total Exports","EQUATORIAL GUINEA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","EQUATORIAL GUINEA","Value (Year-to-date)","5","HK$ Mn"
"2020","Dec","Total Exports","ESTONIA","Value (Monthly)","30","HK$ Mn"
"2020","Dec","Total Exports","ESTONIA","Value (Year-to-date)","602","HK$ Mn"
"2020","Dec","Total Exports","ESWATINI","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","ESWATINI","Value (Year-to-date)","11","HK$ Mn"
"2020","Dec","Total Exports","ETHIOPIA","Value (Monthly)","545","HK$ Mn"
"2020","Dec","Total Exports","ETHIOPIA","Value (Year-to-date)","3,238","HK$ Mn"
"2020","Dec","Total Exports","FIJI","Value (Monthly)","5","HK$ Mn"
"2020","Dec","Total Exports","FIJI","Value (Year-to-date)","66","HK$ Mn"
"2020","Dec","Total Exports","FINLAND","Value (Monthly)","135","HK$ Mn"
"2020","Dec","Total Exports","FINLAND","Value (Year-to-date)","1,543","HK$ Mn"
"2020","Dec","Total Exports","FRANCE","Value (Monthly)","2,998","HK$ Mn"
"2020","Dec","Total Exports","FRANCE","Value (Year-to-date)","31,303","HK$ Mn"
"2020","Dec","Total Exports","GABON","Value (Monthly)","10","HK$ Mn"
"2020","Dec","Total Exports","GABON","Value (Year-to-date)","130","HK$ Mn"
"2020","Dec","Total Exports","GAMBIA","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Total Exports","GAMBIA","Value (Year-to-date)","28","HK$ Mn"
"2020","Dec","Total Exports","GEORGIA","Value (Monthly)","15","HK$ Mn"
"2020","Dec","Total Exports","GEORGIA","Value (Year-to-date)","213","HK$ Mn"
"2020","Dec","Total Exports","GERMANY","Value (Monthly)","5,563","HK$ Mn"
"2020","Dec","Total Exports","GERMANY","Value (Year-to-date)","59,277","HK$ Mn"
"2020","Dec","Total Exports","GHANA","Value (Monthly)","23","HK$ Mn"
"2020","Dec","Total Exports","GHANA","Value (Year-to-date)","323","HK$ Mn"
"2020","Dec","Total Exports","GIBRALTAR","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Total Exports","GIBRALTAR","Value (Year-to-date)","7","HK$ Mn"
"2020","Dec","Total Exports","GREECE","Value (Monthly)","141","HK$ Mn"
"2020","Dec","Total Exports","GREECE","Value (Year-to-date)","1,259","HK$ Mn"
"2020","Dec","Total Exports","GREENLAND","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","GREENLAND","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","GRENADA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","GRENADA","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Total Exports","GUAM","Value (Monthly)","2","HK$ Mn"
"2020","Dec","Total Exports","GUAM","Value (Year-to-date)","248","HK$ Mn"
"2020","Dec","Total Exports","GUATEMALA","Value (Monthly)","121","HK$ Mn"
"2020","Dec","Total Exports","GUATEMALA","Value (Year-to-date)","1,101","HK$ Mn"
"2020","Dec","Total Exports","GUINEA","Value (Monthly)","8","HK$ Mn"
"2020","Dec","Total Exports","GUINEA","Value (Year-to-date)","144","HK$ Mn"
"2020","Dec","Total Exports","GUINEA-BISSAU","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","GUINEA-BISSAU","Value (Year-to-date)","4","HK$ Mn"
"2020","Dec","Total Exports","GUYANA","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Total Exports","GUYANA","Value (Year-to-date)","14","HK$ Mn"
"2020","Dec","Total Exports","HAITI","Value (Monthly)","14","HK$ Mn"
"2020","Dec","Total Exports","HAITI","Value (Year-to-date)","148","HK$ Mn"
"2020","Dec","Total Exports","HOLY SEE","Value (Monthly)","-",""
"2020","Dec","Total Exports","HOLY SEE","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Total Exports","HONDURAS","Value (Monthly)","39","HK$ Mn"
"2020","Dec","Total Exports","HONDURAS","Value (Year-to-date)","488","HK$ Mn"
"2020","Dec","Total Exports","HUNGARY","Value (Monthly)","944","HK$ Mn"
"2020","Dec","Total Exports","HUNGARY","Value (Year-to-date)","11,690","HK$ Mn"
"2020","Dec","Total Exports","ICELAND","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Total Exports","ICELAND","Value (Year-to-date)","75","HK$ Mn"
"2020","Dec","Total Exports","INDIA","Value (Monthly)","7,930","HK$ Mn"
"2020","Dec","Total Exports","INDIA","Value (Year-to-date)","97,392","HK$ Mn"
"2020","Dec","Total Exports","INDONESIA","Value (Monthly)","1,356","HK$ Mn"
"2020","Dec","Total Exports","INDONESIA","Value (Year-to-date)","18,419","HK$ Mn"
"2020","Dec","Total Exports","IRAN, ISLAMIC REP","Value (Monthly)","69","HK$ Mn"
"2020","Dec","Total Exports","IRAN, ISLAMIC REP","Value (Year-to-date)","292","HK$ Mn"
"2020","Dec","Total Exports","IRAQ","Value (Monthly)","6","HK$ Mn"
"2020","Dec","Total Exports","IRAQ","Value (Year-to-date)","203","HK$ Mn"
"2020","Dec","Total Exports","IRELAND","Value (Monthly)","177","HK$ Mn"
"2020","Dec","Total Exports","IRELAND","Value (Year-to-date)","2,232","HK$ Mn"
"2020","Dec","Total Exports","ISRAEL","Value (Monthly)","882","HK$ Mn"
"2020","Dec","Total Exports","ISRAEL","Value (Year-to-date)","11,249","HK$ Mn"
"2020","Dec","Total Exports","ITALY","Value (Monthly)","1,699","HK$ Mn"
"2020","Dec","Total Exports","ITALY","Value (Year-to-date)","22,796","HK$ Mn"
"2020","Dec","Total Exports","JAMAICA","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Total Exports","JAMAICA","Value (Year-to-date)","66","HK$ Mn"
"2020","Dec","Total Exports","JAPAN","Value (Monthly)","10,113","HK$ Mn"
"2020","Dec","Total Exports","JAPAN","Value (Year-to-date)","109,326","HK$ Mn"
"2020","Dec","Total Exports","JORDAN","Value (Monthly)","139","HK$ Mn"
"2020","Dec","Total Exports","JORDAN","Value (Year-to-date)","1,640","HK$ Mn"
"2020","Dec","Total Exports","KAZAKHSTAN","Value (Monthly)","111","HK$ Mn"
"2020","Dec","Total Exports","KAZAKHSTAN","Value (Year-to-date)","1,758","HK$ Mn"
"2020","Dec","Total Exports","KENYA","Value (Monthly)","71","HK$ Mn"
"2020","Dec","Total Exports","KENYA","Value (Year-to-date)","986","HK$ Mn"
"2020","Dec","Total Exports","KIRIBATI","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Total Exports","KIRIBATI","Value (Year-to-date)","6","HK$ Mn"
"2020","Dec","Total Exports","KOREA","Value (Monthly)","5,208","HK$ Mn"
"2020","Dec","Total Exports","KOREA","Value (Year-to-date)","52,260","HK$ Mn"
"2020","Dec","Total Exports","KOREA, DEM PEO REP","Value (Monthly)","-",""
"2020","Dec","Total Exports","KOREA, DEM PEO REP","Value (Year-to-date)","5","HK$ Mn"
"2020","Dec","Total Exports","KUWAIT","Value (Monthly)","101","HK$ Mn"
"2020","Dec","Total Exports","KUWAIT","Value (Year-to-date)","1,585","HK$ Mn"
"2020","Dec","Total Exports","KYRGYZSTAN","Value (Monthly)","2","HK$ Mn"
"2020","Dec","Total Exports","KYRGYZSTAN","Value (Year-to-date)","71","HK$ Mn"
"2020","Dec","Total Exports","LAOS","Value (Monthly)","12","HK$ Mn"
"2020","Dec","Total Exports","LAOS","Value (Year-to-date)","132","HK$ Mn"
"2020","Dec","Total Exports","LATVIA","Value (Monthly)","67","HK$ Mn"
"2020","Dec","Total Exports","LATVIA","Value (Year-to-date)","708","HK$ Mn"
"2020","Dec","Total Exports","LEBANON","Value (Monthly)","18","HK$ Mn"
"2020","Dec","Total Exports","LEBANON","Value (Year-to-date)","1,637","HK$ Mn"
"2020","Dec","Total Exports","LESOTHO","Value (Monthly)","6","HK$ Mn"
"2020","Dec","Total Exports","LESOTHO","Value (Year-to-date)","77","HK$ Mn"
"2020","Dec","Total Exports","LIBERIA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","LIBERIA","Value (Year-to-date)","10","HK$ Mn"
"2020","Dec","Total Exports","LIBYA","Value (Monthly)","4","HK$ Mn"
"2020","Dec","Total Exports","LIBYA","Value (Year-to-date)","124","HK$ Mn"
"2020","Dec","Total Exports","LIECHTENSTEIN","Value (Monthly)","13","HK$ Mn"
"2020","Dec","Total Exports","LIECHTENSTEIN","Value (Year-to-date)","130","HK$ Mn"
"2020","Dec","Total Exports","LITHUANIA","Value (Monthly)","150","HK$ Mn"
"2020","Dec","Total Exports","LITHUANIA","Value (Year-to-date)","1,852","HK$ Mn"
"2020","Dec","Total Exports","LUXEMBOURG","Value (Monthly)","186","HK$ Mn"
"2020","Dec","Total Exports","LUXEMBOURG","Value (Year-to-date)","938","HK$ Mn"
"2020","Dec","Total Exports","MACAO","Value (Monthly)","5,735","HK$ Mn"
"2020","Dec","Total Exports","MACAO","Value (Year-to-date)","41,467","HK$ Mn"
"2020","Dec","Total Exports","MADAGASCAR","Value (Monthly)","17","HK$ Mn"
"2020","Dec","Total Exports","MADAGASCAR","Value (Year-to-date)","194","HK$ Mn"
"2020","Dec","Total Exports","MALAWI","Value (Monthly)","18","HK$ Mn"
"2020","Dec","Total Exports","MALAWI","Value (Year-to-date)","231","HK$ Mn"
"2020","Dec","Total Exports","MALAYSIA","Value (Monthly)","2,787","HK$ Mn"
"2020","Dec","Total Exports","MALAYSIA","Value (Year-to-date)","32,444","HK$ Mn"
"2020","Dec","Total Exports","MALDIVES","Value (Monthly)","5","HK$ Mn"
"2020","Dec","Total Exports","MALDIVES","Value (Year-to-date)","57","HK$ Mn"
"2020","Dec","Total Exports","MALI","Value (Monthly)","29","HK$ Mn"
"2020","Dec","Total Exports","MALI","Value (Year-to-date)","230","HK$ Mn"
"2020","Dec","Total Exports","MALTA","Value (Monthly)","7","HK$ Mn"
"2020","Dec","Total Exports","MALTA","Value (Year-to-date)","94","HK$ Mn"
"2020","Dec","Total Exports","MARSHALL ISLANDS","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Total Exports","MARSHALL ISLANDS","Value (Year-to-date)","5","HK$ Mn"
"2020","Dec","Total Exports","MAURITANIA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","MAURITANIA","Value (Year-to-date)","7","HK$ Mn"
"2020","Dec","Total Exports","MAURITIUS","Value (Monthly)","18","HK$ Mn"
"2020","Dec","Total Exports","MAURITIUS","Value (Year-to-date)","256","HK$ Mn"
"2020","Dec","Total Exports","MEXICO","Value (Monthly)","2,720","HK$ Mn"
"2020","Dec","Total Exports","MEXICO","Value (Year-to-date)","27,465","HK$ Mn"
"2020","Dec","Total Exports","MICRONESIA FS & PALAU","Value (Monthly)","2","HK$ Mn"
"2020","Dec","Total Exports","MICRONESIA FS & PALAU","Value (Year-to-date)","27","HK$ Mn"
"2020","Dec","Total Exports","MIDDLE EAST, NESOI","Value (Monthly)","-",""
"2020","Dec","Total Exports","MIDDLE EAST, NESOI","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Total Exports","MOLDOVA, REPUBLIC OF","Value (Monthly)","12","HK$ Mn"
"2020","Dec","Total Exports","MOLDOVA, REPUBLIC OF","Value (Year-to-date)","146","HK$ Mn"
"2020","Dec","Total Exports","MONGOLIA","Value (Monthly)","9","HK$ Mn"
"2020","Dec","Total Exports","MONGOLIA","Value (Year-to-date)","235","HK$ Mn"
"2020","Dec","Total Exports","MONTENEGRO","Value (Monthly)","1","HK$ Mn"
